0.00000000,0.80000000,0.00000000,-0.64350111,1.28700222,-0.64350111,1.28700222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00004904,0.79969401,0.00000861,-0.64248668,1.28510642,-0.63788567,1.28942471,0.00427812,-0.02851953,0.00006637,-0.03130254,0.07346043,0.55205352,0.19251046
0.00017953,0.79889813,0.00000981,-0.64352906,1.28752124,-0.62089258,1.29348238,0.00871848,-0.04940725,0.00007190,-0.06737602,0.15681249,1.13791260,0.19081048
0.00040250,0.79775206,0.00001167,-0.64509266,1.29121335,-0.59185156,1.29630733,0.01352230,-0.06406222,0.00011540,-0.08647568,0.20724791,1.75596665,0.07985672
0.00072586,0.79637066,0.00001411,-0.64691744,1.29568350,-0.55010373,1.29601456,0.01875521,-0.07297899,0.00011209,-0.09449562,0.23658067,2.40799061,-0.11783095
0.00115823,0.79485914,0.00001508,-0.64882272,1.30058940,-0.49501427,1.29094373,0.02440196,-0.07745075,-0.00004902,-0.09493323,0.25154870,3.08716873,-0.39526058
0.00170691,0.79329229,0.00000971,-0.65067549,1.30567518,-0.42615220,1.27934016,0.03034804,-0.07876455,-0.00055696,-0.08980758,0.25552899,3.78281949,-0.77535612
0.00237415,0.79172058,-0.00001211,-0.65239780,1.31077203,-0.34363427,1.25917400,0.03613353,-0.07826227,-0.00173977,-0.08252338,0.25351904,4.43512593,-1.23590760
0.00314589,0.79016558,-0.00006773,-0.65398839,1.31580886,-0.24992954,1.22994464,0.04053010,-0.07732210,-0.00396308,-0.07762968,0.25078735,4.85970003,-1.64981340
0.00396491,0.78854830,-0.00017859,-0.65572877,1.32116451,-0.15449117,1.19624934,0.03997320,-0.08456446,-0.00718505,-0.10758294,0.30357857,4.44163575,-1.55647956
0.00452136,0.78641335,-0.00031889,-0.65705056,1.32800627,-0.11819054,1.20266596,-0.02449435,-0.10723733,-0.00407848,1.55045419,-0.71226653,-9.99478291,9.57920596
0.00532834,0.78417899,-0.00009208,-0.67328425,1.34071065,-0.15297656,1.10182609,0.08553483,-0.11905659,0.01560194,-1.32187285,0.53881142,-0.00028987,0.33792372
0.00779942,0.78183321,0.00021800,-0.70833270,1.34816718,-0.15132471,1.10674636,0.16037712,-0.11469432,0.01534161,-2.11318009,0.22358976,0.15864050,0.16818672
